,County,Biden,Trump,Jorgenson,Total,Percent Biden,Percent Trump,Percent Jorgenson
52,POTTER,1716,7216,99,9031,19.00121802679659,79.90255785627284,1.0962241169305724
53,SCHUYLKILL,20425,48100,997,69522,29.3791893213659,69.18673225741492,1.4340784212191824
54,SNYDER,4910,13983,247,19140,25.653082549634277,73.05642633228841,1.290491118077325
55,SOMERSET,8543,31105,414,40062,21.324447106984174,77.64215466027657,1.0333982327392541
56,SULLIVAN,921,2622,56,3599,25.59044178938594,72.85357043623229,1.5559877743817727
57,SUSQUEHANNA,6084,14879,301,21264,28.6117381489842,69.97272385252069,1.415537998495109
58,TIOGA,4954,15739,378,21071,23.51098666413554,74.69507854397038,1.7939347918940722
59,UNION,7322,12194,280,19796,36.98727015558699,61.598302687411596,1.4144271570014144
60,VENANGO,7585,18569,374,26528,28.59243063932449,69.99773823884198,1.4098311218335344
61,WARREN,5987,14020,338,20345,29.427377734087003,68.91128041287786,1.6613418530351438
62,WASHINGTON,44746,71397,1300,117443,38.10018477048441,60.792895276857706,1.1069199526578852
63,WAYNE,9191,18637,261,28089,32.720993983409876,66.34981665420628,0.9291893623838513
64,WESTMORELAND,71099,128596,2316,202011,35.19560815995169,63.65791961823861,1.1464722218097034
65,WYOMING,4704,9936,218,14858,31.65971193969579,66.87306501547987,1.467223044824337
66,YORK,85323,143260,3473,232056,36.768280070327855,61.73509842451822,1.4966215051539282
